"","Title","Path","Box","Distrubutor","Release.Date","Genre","Runtime","MPAA","Budget"
"11253","Ellie Parker","/movies/?id=ellieparker.htm",34410,"Strand","November","Drama",95,"R",NA
"11254","Heidi Fleiss: Hollywood Madame","/movies/?id=heidifleiss.htm",34402,"In Pictures","February","Documentary",106,"Unrated",NA
"11255","Eisenstein in Guanajuato","/movies/?id=eisensteininguanajuato.htm",34282,"Strand","February","Romantic Comedy",105,"Unrated",NA
"11256","Rocks in my Pockets","/movies/?id=rocksinmypockets.htm",34236,"Zeitgeist","September","Animation",88,"Unrated",NA
"11257","Presenting Princess Shaw","/movies/?id=presentingprincessshaw.htm",34229,"Magnolia","May","Documentary",80,"Unrated",NA
"11258","Martin and Orloff","/movies/?id=martinandorloff.htm",34222,"Spit N' Glue","November","Unknown",87,"Unrated",NA
"11259","Beautiful Darling","/movies/?id=beautifuldarling.htm",34096,"Corinth Films","April","Documentary",NA,"Unrated",NA
"11260","Familiar Strangers","/movies/?id=familiarstrangers.htm",34068,"Cavalier Films","November","Comedy / Drama",87,"PG-13",NA
"11261","Hit So Hard","/movies/?id=hitsohard.htm",34025,"Variance Films","April","Documentary",103,"R",NA
"11262","The Autobiography of Nicolae Ceausescu","/movies/?id=nicolaeceausescu.htm",34023,"The Film Desk","September","Foreign",180,"Unrated",NA
"11263","Bert Stern: Original Mad Man","/movies/?id=bertstern.htm",34005,"First Run","April","Documentary",89,"Unrated",NA
"11264","Your Mommy Kills Animals","/movies/?id=yourmommykillsanimals.htm",34000,"Halo8 Releasing","July","Documentary",105,"R",NA
"11265","Cowboys and Angels","/movies/?id=cowboysandangels.htm",33941,"TLA Releasing","September","Comedy / Drama",89,"Unrated",NA
"11266","Signs and Wonders","/movies/?id=signsandwonders.htm",33842,"Strand","February","Unknown",105,"Unrated",NA
"11267","White Bird in a Blizzard","/movies/?id=whitebirdinablizzard.htm",33821,"Magnolia","October","Drama",91,"R",NA
"11268","It Felt Like Love","/movies/?id=itfeltlikelove.htm",33817,"Variance Films","March","Drama",82,"Unrated",NA
"11269","The Lighthorsemen","/movies/?id=lighthorsemen.htm",33779,"Cinecom","April","Unknown",115,"PG",NA
"11270","Brief Interviews with Hideous Men","/movies/?id=briefinterviewswithhideousmen.htm",33745,"IFC","September","Comedy / Drama",72,"Unrated",NA
"11271","My Country, My Country","/movies/?id=mycountrymycountry.htm",33620,"Zeitgeist","August","Documentary",90,"Unrated",NA
"11272","What to Do in Case of Fire","/movies/?id=whattodoincaseoffire.htm",33545,"Sony / Columbia","July","Unknown",101,"R",NA
"11273","Friends and Lovers","/movies/?id=friendsandlovers.htm",33543,"Lions Gate","April","Unknown",102,"R",NA
"11274","K: Missing Kings","/movies/?id=kmissingkings.htm",33531,"Eleven Arts","July","Animation",73,"Unrated",NA
"11275","The Turandot Project","/movies/?id=turandotproject.htm",33504,"Zeitgeist","August","Documentary",87,"Unrated",NA
"11276","Bluebeard","/movies/?id=bluebeard.htm",33490,"Strand","March","Fantasy",80,"Unrated",NA
"11277","Twister (1990)","/movies/?id=twister90.htm",33455,"Greycat","August","Unknown",93,"PG-13",NA
"11278","Making the Boys","/movies/?id=makingtheboys.htm",33443,"First Run","March","Documentary",90,"Unrated",NA
"11279","Man with a Plan","/movies/?id=manwithaplan.htm",33402,"Fred Herman Co.","May","Unknown",90,"Unrated",NA
"11280","Sisters in Law","/movies/?id=sistersinlaw.htm",33312,"Women Make Movies","April","Documentary",104,"Unrated",NA
"11281","Running From Crazy","/movies/?id=runningfromcrazy.htm",33300,"Vitagraph","November","Documentary",100,"Unrated",NA
"11282","Blind Shaft","/movies/?id=blindshaft.htm",33272,"Kino","February","Unknown",92,"Unrated",NA
"11283","Keane","/movies/?id=keane.htm",33256,"Magnolia","September","Drama",100,"R",NA
"11284","Stake Land","/movies/?id=stakeland.htm",33245,"IFC","April","Horror",98,"R",NA
"11285","Jump Tomorrow","/movies/?id=jumptomorrow.htm",33236,"IFC","July","Unknown",96,"PG",NA
"11286","Big Bad Wolves","/movies/?id=bigbadwolves.htm",33232,"Magnolia","January","Foreign",110,"Unrated",NA
"11287","Lou Reed's Berlin","/movies/?id=loureedsberlin.htm",33231,"Third Rail Releasing","July","Concert",85,"Unrated",NA
"11288","Loverboy","/movies/?id=loverboy06.htm",33223,"ThinkFilm","June","Drama",86,"R",NA
"11289","Mississippi Mermaid (re-issue)","/movies/?id=mississippimermaid09.htm",33216,"The Film Desk","July","Foreign",NA,"PG",NA
"11290","Around a Small Mountain","/movies/?id=aroundasmallmountain.htm",33216,"Cinema Guild","July","Drama",84,"Unrated",NA
"11291","The Last Winter","/movies/?id=lastwinter.htm",33190,"IFC","September","Horror",107,"Unrated",NA
"11292","American Teacher","/movies/?id=americanteacher.htm",33144,"First Run","September","Documentary",81,"Unrated",NA
"11293","Regeneration","/movies/?id=regeneration.htm",33131,"Alliance","August","War Drama",105,"R",NA
"11294","Bolivia","/movies/?id=bolivia.htm",33098,"Cinema Tropical","February","Unknown",75,"Unrated",NA
"11295","Dislecksia: The Movie","/movies/?id=dislecksia.htm",33066,"Area23a","October","Documentary",84,"Unrated",NA
"11296","Falling for Grace","/movies/?id=fallingforgrace.htm",33060,"Slowhand Cinema","July","Romantic Comedy",98,"PG-13",NA
"11297","Meet Monica Velour","/movies/?id=meetmonicavelour.htm",33042,"Anchor Bay Films","April","Comedy / Drama",97,"R",NA
"11298","Ahead of Time","/movies/?id=aheadoftime.htm",33024,"Vitagraph","September","Documentary",73,"Unrated",NA
"11299","Film Socialisme","/movies/?id=filmsocialisme.htm",32977,"Lorber Films","June","Foreign",101,"Unrated",NA
"11300","Spoken Word","/movies/?id=spokenword.htm",32961,"Variance Films","July","Drama",116,"Unrated",NA
"11301","Beyond a Reasonable Doubt","/movies/?id=beyondareasonabledoubt.htm",32917,"Anchor Bay Films","September","Thriller",105,"PG-13",NA
"11302","The Time That Remains","/movies/?id=timethatremains.htm",32869,"IFC","January","Foreign",105,"Unrated",NA
"11303","A Field in England","/movies/?id=fieldinengland.htm",32846,"Drafthouse","February","Historical Drama",90,"Unrated",NA
"11304","Smile","/movies/?id=smile.htm",32833,"Freestyle Releasing","April","Drama",107,"PG-13",NA
"11305","Gille's Wife","/movies/?id=gilleswife.htm",32799,"Cinema Guild","November","Foreign",103,"Unrated",NA
"11306","Local Color","/movies/?id=localcolor.htm",32788,"Monterey Media, Inc.","October","Drama",107,"R",3
"11307","11-11-11","/movies/?id=111111.htm",32771,"Rocket Releasing","November","Horror",82,"PG-13",NA
"11308","Monster Hunt","/movies/?id=monsterhunt.htm",32766,"FilmRise","January","Action Fantasy",111,"Unrated",NA
"11309","Controlled Chaos (re-issue)","/movies/?id=controlledchaos07.htm",32740,"Reliance Films","October","Comedy",92,"R",NA
"11310","L'Age d'Or (Re-issue)","/movies/?id=lagedor04.htm",32712,"Kino","January","Foreign",90,"Unrated",NA
"11311","Fanfan la Tulipe","/movies/?id=fanfanlatulipe.htm",32686,"Christal Films","August","Unknown",97,"Unrated",NA
"11312","Of Time and the City","/movies/?id=oftimeandthecity.htm",32677,"Strand","January","Documentary",72,"Unrated",NA
"11313","Mean Streets (Re-issue)","/movies/?id=meanstreets98.htm",32645,"Warner Bros.","March","Unknown",110,"R",NA
"11314","The Tracey Fragments","/movies/?id=traceyfragments.htm",32645,"ThinkFilm","May","Drama",80,"R",NA
"11315","Boesman and Lena","/movies/?id=boesmanandlena.htm",32625,"Kino","November","Unknown",90,"Unrated",NA
"11316","Garage Days","/movies/?id=garagedays.htm",32500,"Fox Searchlight","July","Unknown",105,"R",NA
"11317","Boxing Gym","/movies/?id=boxinggym.htm",32476,"Zipporah Films","October","Documentary",91,"Unrated",NA
"11318","Fuel","/movies/?id=fuel.htm",32465,"Unknown","September","Documentary",112,"Unrated",NA
"11319","Free Zone","/movies/?id=freezone.htm",32381,"New Yorker","April","Drama",90,"Unrated",NA
"11320","Beetle Queen Conquers Tokyo","/movies/?id=beetlequeenconquerstokyo.htm",32308,"Argot Pictures","May","Documentary",90,"Unrated",NA
"11321","For a Woman","/movies/?id=forawoman.htm",32286,"Film Movement","May","Foreign",110,"Unrated",NA
"11322","Ayurveda: The Art of Being","/movies/?id=ayurveda.htm",32267,"Kino","July","Documentary",102,"Unrated",NA
"11323","Head Above Water","/movies/?id=headabovewater.htm",32212,"Fine Line","June","Unknown",92,"PG-13",NA
"11324","Living in Emergency","/movies/?id=livinginemergency.htm",32208,"Truly Indie","June","Documentary",93,"Unrated",NA
"11325","Sacco and Vanzetti","/movies/?id=saccoandvanzetti.htm",32203,"First Run","January","Documentary",81,"Unrated",NA
"11326","The Hero of Color City","/movies/?id=heroofcolorcity.htm",32188,"Magnolia","October","Animation",77,"G",NA
"11327","Octubre","/movies/?id=octubre.htm",32127,"New Yorker","May","Foreign",83,"Unrated",NA
"11328","Bird People","/movies/?id=birdpeople.htm",32111,"IFC","September","Romance",128,"Unrated",NA
"11329","The Weekend","/movies/?id=weekend.htm",32050,"Strand","November","Unknown",97,"Unrated",NA
"11330","Kiss the Bride","/movies/?id=kissthebride.htm",32033,"Regent Releasing","April","Romantic Comedy",115,"R",NA
"11331","Last Life in the Universe","/movies/?id=lastlifeintheuniverse.htm",32014,"Palm","August","Foreign",112,"R",NA
"11332","Rio, I Love You","/movies/?id=rioiloveyou.htm",31982,"Screen Media","April","Drama",112,"R",NA
"11333","District of Corruption","/movies/?id=districtofcorruption.htm",31954,"Rocky Mountain Pictures","October","Documentary",NA,"Unrated",NA
"11334","Reel Paradise","/movies/?id=reelparadise.htm",31918,"Wellspring","August","Documentary",114,"R",NA
"11335","Going Shopping","/movies/?id=goingshopping.htm",31908,"Rainbow Releasing","September","Comedy",106,"PG-13",NA
"11336","Day Night / Day Night","/movies/?id=daynightdaynight.htm",31856,"IFC","May","Drama",94,"Unrated",NA
"11337","Diary of a Hitman","/movies/?id=diaryofahitman.htm",31815,"Vision Intl.","May","Unknown",92,"R",NA
"11338","180 South","/movies/?id=180south.htm",31745,"Magnolia","May","Documentary",85,"PG",NA
"11339","Beyond the Clouds","/movies/?id=beyondtheclouds.htm",31738,"Sceneries Distribution","December","Unknown",115,"Unrated",NA
"11340","At Berkeley","/movies/?id=atberkeley.htm",31736,"Zipporah Films","November","Documentary",244,"Unrated",NA
"11341","Bad Manners","/movies/?id=badmanners.htm",31687,"Phaedra","October","Unknown",88,"R",NA
"11342","Porn Theatre","/movies/?id=porntheatre.htm",31653,"Strand","October","Unknown",85,"Unrated",NA
"11343","Stander","/movies/?id=stander.htm",31651,"Newmarket","August","Action / Crime",116,"R",NA
"11344","The Substance of Fire","/movies/?id=substanceoffire.htm",31638,"Miramax","March","Unknown",101,"R",NA
"11345","Abuse of Weakness","/movies/?id=abuseofweakness.htm",31611,"Strand","August","Foreign",105,"Unrated",NA
"11346","The Passionate Thief (2014 re-release)","/movies/?id=passionatethief.htm",31539,"Rialto","December","Foreign",106,"Unrated",NA
"11347","Musical Chairs","/movies/?id=musicalchairs.htm",31478,"Paladin","March","Romance",100,"PG",NA
"11348","Celine & Julie Go Boating (re-issue)","/movies/?id=celineandjulie.htm",31452,"New Yorker","May","Foreign",193,"Unrated",NA
"11349","Beyond the Farthest Star","/movies/?id=beyondthefartheststar.htm",31433,"Gathr Films","October","Drama",119,"PG-13",NA
"11350","Fabled","/movies/?id=fabled.htm",31425,"Indican","December","Thriller",84,"Unrated",NA
"11351","Whores' Glory","/movies/?id=whoresglory.htm",31420,"Kino Lorber","April","Foreign",110,"Unrated",NA
"11352","Evocateur: The Morton Downey Jr. Movie","/movies/?id=evocateur.htm",31313,"Magnolia","June","Documentary",90,"R",NA
"11353","Bootmen","/movies/?id=bootmen.htm",31288,"Fox Searchlight","October","Unknown",95,"R",NA
"11354","Hats Off","/movies/?id=hatsoff.htm",31272,"Abramorama","March","Documentary",84,"Unrated",NA
"11355","The Hottest State","/movies/?id=hotteststate.htm",31216,"ThinkFilm","August","Drama",117,"R",NA
"11356","The Raspberry Reich","/movies/?id=raspberryreich.htm",31211,"Strand","September","Comedy",90,"Unrated",NA
"11357","The Wedding Song","/movies/?id=weddingsong.htm",31160,"Strand","October","Foreign",100,"Unrated",NA
"11358","Hey, Boo: Harper Lee & To Kill A Mockingbird","/movies/?id=heyboo.htm",31135,"First Run","May","Documentary",80,"Unrated",NA
"11359","Small Town Murder Songs","/movies/?id=smalltownmurdersongs.htm",31133,"Monterey Media, Inc.","June","Crime Thriller",75,"Unrated",NA
"11360","Maniac (2013)","/movies/?id=maniac2013.htm",31081,"IFC","June","Horror Thriller",89,"Unrated",NA
"11361","White Irish Drinkers","/movies/?id=whiteirishdrinkers.htm",31056,"Screen Media","March","Drama",109,"R",NA
"11362","In My Skin","/movies/?id=inmyskin.htm",31046,"Wellspring","November","Unknown",93,"Unrated",NA
"11363","Chooch","/movies/?id=chooch.htm",31015,"Artistic License","August","Comedy",81,"Unrated",NA
"11364","Nathalie","/movies/?id=nathalie.htm",31008,"Koch Lorber Films","April","Foreign",105,"Unrated",NA
"11365","Who Is Harry Nilsson?","/movies/?id=harrynilsson.htm",30975,"Lorber Films","September","Documentary",116,"Unrated",NA
"11366","Crooked Hearts","/movies/?id=crookedhearts.htm",30964,"MGM","May","Drama",112,"R",NA
"11367","Super Capers","/movies/?id=supercapers.htm",30955,"Roadside Attractions","March","Comedy",90,"PG",NA
"11368","Kalakalappu@Masala Cafe","/movies/?id=kalakalappu.htm",30949,"UTV Communications","May","Foreign",135,"Unrated",NA
"11369","The Exiles (re-issue)","/movies/?id=exiles08.htm",30945,"Milestone","July","Drama",72,"Unrated",NA
"11370","Patti Smith: Dream of Life","/movies/?id=pattismithdreamoflife.htm",30918,"Palm","August","Documentary",109,"Unrated",NA
"11371","Gangster No. 1","/movies/?id=gangsterno1.htm",30915,"IFC","June","Unknown",103,"R",NA
"11372","L!fe Happens","/movies/?id=lifehappens.htm",30905,"PMK*BNC","April","Comedy",100,"R",NA
"11373","Sans Soleil (Re-issue)","/movies/?id=sanssoleil03.htm",30878,"New Yorker","October","Unknown",100,"Unrated",NA
"11374","Checking Out","/movies/?id=checkingout.htm",30877,"Warner Bros.","April","Unknown",95,"R",NA
"11375","La Chinoise (re-issue)","/movies/?id=lachinoise.htm",30857,"Koch Lorber Films","October","Foreign",96,"Unrated",NA
"11376","GasLand","/movies/?id=gasland.htm",30846,"International WOW","September","Documentary",107,"Unrated",NA
"11377","Meet the Fokkens","/movies/?id=meetthefokkens.htm",30810,"Kino Lorber","August","Documentary",80,"Unrated",NA
"11378","24 City","/movies/?id=24city.htm",30800,"Cinema Guild","June","Foreign",112,"Unrated",NA
"11379","Soul in the Hole","/movies/?id=soulinthehole.htm",30697,"Unknown","August","Unknown",105,"Unrated",NA
"11380","The Son of No One","/movies/?id=sonofnoone.htm",30680,"Anchor Bay Films","November","Crime Thriller",95,"R",NA
"11381","The Bay","/movies/?id=bay.htm",30668,"Roadside Attractions","November","Horror Thriller",84,"R",NA
"11382","Under the Skin of the City","/movies/?id=undertheskinofthecity.htm",30666,"Magnolia","March","Unknown",92,"Unrated",NA
"11383","Documented","/movies/?id=documented.htm",30662,"Define American","May","Documentary",91,"Unrated",NA
"11384","Hide Away (2012)","/movies/?id=hideaway2012.htm",30655,"Joules Films","May","Drama",83,"PG-13",NA
"11385","Yella","/movies/?id=yella.htm",30647,"Cinema Guild","May","Foreign",89,"Unrated",NA
"11386","Valhalla Rising","/movies/?id=valhallarising.htm",30638,"IFC","July","Sci-Fi Action",90,"Unrated",NA
"11387","Fighting for Life","/movies/?id=fightingforlife.htm",30606,"Truly Indie","March","Documentary",89,"Unrated",NA
"11388","Dark Matter","/movies/?id=darkmatter.htm",30591,"First Independent Pictures","April","Drama",90,"R",NA
"11389","Fanfan la Tulipe (1952) (re-issue)","/movies/?id=fanfanlatulipe06.htm",30590,"Rialto","July","Foreign",98,"Unrated",NA
"11390","The Sea is Watching","/movies/?id=seaiswatching.htm",30577,"Sony Repertory","July","Unknown",119,"R",NA
"11391","Gang of Roses","/movies/?id=gangofroses.htm",30497,"DEJ","October","Unknown",88,"R",NA
"11392","Take My Eyes","/movies/?id=takemyeyes.htm",30496,"New Yorker","March","Foreign",109,"Unrated",NA
"11393","The Boondock Saints","/movies/?id=boondocksaints.htm",30471,"Indican","January","Action / Crime",110,"R",6
"11394","These Birds Walk","/movies/?id=thesebirdswalk.htm",30408,"Oscilloscope Pictures","November","Documentary",71,"Unrated",NA
"11395","Being Charlie","/movies/?id=beingcharlie.htm",30400,"Paladin","May","Comedy",97,"R",NA
"11396","Under the Sun (2016)","/movies/?id=underthesun2016.htm",30397,"Icarus Films","July","Documentary",106,"Unrated",NA
"11397","The Take","/movies/?id=take.htm",30380,"Icarus Films","September","Documentary",87,"Unrated",NA
"11398","Rock and Rule","/movies/?id=rockandrule.htm",30379,"MGM","April","Unknown",77,"PG",NA
"11399","Shanghai Red","/movies/?id=shanghaired.htm",30353,"Indican","February","Foreign",98,"R",NA
"11400","Walking on Dead Fish","/movies/?id=walkingondeadfish.htm",30328,"Variance Films","September","Documentary",92,"PG-13",NA
"11401","Happy Christmas","/movies/?id=happychristmas.htm",30312,"Magnolia","July","Comedy / Drama",82,"R",NA
"11402","Jimmy P","/movies/?id=jimmyp.htm",30283,"IFC","February","Drama",117,"Unrated",NA
"11403","Down to the Bone","/movies/?id=downtothebone.htm",30241,"Laemmle / Zeller Films","November","Drama",110,"R",NA
"11404","Pyar Ke Side Effects","/movies/?id=pyarkesideeffects.htm",30230,"Eros","September","Foreign",NA,"Unrated",NA
"11405","Free Enterprise","/movies/?id=freeenterprise.htm",30229,"Regent Releasing","June","Comedy",113,"R",NA
"11406","Weapons of Mass Deception","/movies/?id=weaponsofmassdeception.htm",30210,"Cinema Libre","December","Documentary",100,"Unrated",NA
"11407","Men & Chicken","/movies/?id=menchicken.htm",30207,"Drafthouse","April","Comedy",104,"Unrated",NA
"11408","Southern Baptist Sissies","/movies/?id=southernbaptistsissies.htm",30160,"The Film Collaborative","February","Drama",138,"Unrated",NA
"11409","In My Sleep","/movies/?id=inmysleep.htm",30158,"Morning Star","April","Drama / Thriller",90,"PG-13",NA
"11410","American Swing","/movies/?id=americanswing.htm",30156,"Magnolia","March","Documentary",81,"Unrated",NA
"11411","A Fond Kiss","/movies/?id=fondkiss.htm",30148,"Castle Hill","November","Romance",104,"R",NA
"11412","Standing Still","/movies/?id=standingstill.htm",30142,"Freestyle Releasing","April","Drama",90,"R",NA
"11413","Muran","/movies/?id=muran.htm",30116,"UTV Communications","September","Foreign",136,"Unrated",NA
"11414","A Long Way Off","/movies/?id=alongwayoff.htm",30104,"Moving Visions Entertainment","May","Drama",105,"PG",NA
"11415","Teza","/movies/?id=teza.htm",30070,"Mypheduh Films","September","Foreign",140,"Unrated",NA
"11416","The Windmill Movie","/movies/?id=windmillmovie.htm",30050,"The Film Desk","June","Documentary",82,"Unrated",NA
"11417","Manakamana","/movies/?id=manakamana.htm",30029,"Cinema Guild","April","Documentary",118,"Unrated",NA
"11418","Sonny","/movies/?id=sonny.htm",30005,"Gold Circle","December","Unknown",110,"R",NA
"11419","Cat Run","/movies/?id=catrun.htm",30000,"Paladin","April","Action Comedy",93,"R",NA
"11420","I Have Never Forgotten You: The Life & Legacy of Simon Wiesenthal","/movies/?id=ihaveneverforgottenyou.htm",29976,"Luminous Velocity Releasing","May","Documentary",105,"PG-13",NA
"11421","Evidence of a Haunting","/movies/?id=evidenceofahaunting.htm",29904,"Nocturnal Features","August","Horror",82,"Unrated",NA
"11422","Saint Misbehavin': The Wavy Gravy Movie","/movies/?id=saintmishbeavin.htm",29893,"Argot Pictures","December","Documentary",87,"Unrated",NA
"11423","Praise","/movies/?id=praise.htm",29874,"Strand","June","Unknown",98,"Unrated",NA
"11424","Lbs.","/movies/?id=lbs.htm",29866,"Truly Indie","March","Comedy / Drama",99,"Unrated",NA
"11425","Hermano","/movies/?id=hermano.htm",29864,"Music Box Films","August","Foreign",97,"Unrated",NA
"11426","Long Shot: The Kevin Laue Story (2013)","/movies/?id=longshot2013.htm",29863,"Cinipix","October","Documentary",NA,"Unrated",NA
"11427","A Fierce Green Fire","/movies/?id=fiercegreenfire.htm",29817,"First Run","February","Documentary",101,"Unrated",NA
"11428","O.C. and Stiggs","/movies/?id=ocandstiggs.htm",29815,"MGM","July","Comedy",109,"R",7
"11429","Hotel","/movies/?id=hotel.htm",29813,"Innovation Film Group","July","Unknown",119,"R",NA
"11430","Expired","/movies/?id=expired.htm",29796,"MCR Releasing","June","Comedy",106,"Unrated",NA
"11431","Sacrifice","/movies/?id=sacrifice.htm",29792,"Samuel Goldwyn","July","Foreign",122,"R",NA
"11432","The Alphabet Killer","/movies/?id=alphabetkiller.htm",29784,"Anchor Bay Films","November","Drama / Thriller",100,"R",NA
"11433","Multiple Sarcasms","/movies/?id=multiplesarcasms.htm",29731,"MAC Releasing","May","Drama",98,"R",NA
"11434","Henri Cartier-Bresson: The Impassioned Eye","/movies/?id=impassionedeye.htm",29710,"Palm","January","Documentary",72,"Unrated",NA
"11435","Mancora","/movies/?id=mancora.htm",29697,"Maya Entertainment","March","Foreign",100,"R",NA
"11436","Cracks","/movies/?id=cracks.htm",29683,"IFC","March","Drama",104,"R",NA
"11437","The Lovers on the Bridge","/movies/?id=loversonthebridge.htm",29679,"Miramax","July","Unknown",126,"R",NA
"11438","Yellow Day","/movies/?id=yellowday.htm",29656,"Providence Film Partners","September","Family",98,"PG",NA
"11439","Dead Man's Burden","/movies/?id=deadmansburden.htm",29634,"Cinedigm Entertainment","May","Western",93,"Unrated",NA
"11440","Doin' Time on Planet Earth","/movies/?id=dointimeonplanetearth.htm",29576,"Cannon Films","September","Sci-Fi Comedy",85,"PG",NA
"11441","Little Fugitive (2013 re-release)","/movies/?id=littlefugitive.htm",29505,"APD/Cinema Conservancy","February","Family",80,"Unrated",NA
"11442","The Dog Wedding","/movies/?id=thedogwedding.htm",29495,"25th Frame","March","Romantic Comedy",96,"PG-13",NA
"11443","Beyond Beautiful","/movies/?id=beyondbeautiful.htm",29480,"Cowboy","January","Unknown",NA,"Unrated",NA
"11444","Princesas","/movies/?id=princesas.htm",29472,"IFC","August","Foreign",113,"Unrated",NA
"11445","Troublemakers: The Story of Land Art","/movies/?id=troublemakers.htm",29462,"First Run","January","Documentary",72,"Unrated",NA
"11446","Romantico","/movies/?id=romantico.htm",29460,"Kino","November","Documentary",80,"Unrated",NA
"11447","The Official Story","/movies/?id=officialstory.htm",29426,"ALMI","November","Foreign",112,"R",NA
"11448","Redemption Road","/movies/?id=redemptionroad.htm",29384,"Freestyle Releasing","August","Drama",90,"PG-13",2.3
"11449","Gypsy '83","/movies/?id=gypsy83.htm",29367,"Small Planet","April","Unknown",94,"R",NA
"11450","Empathy","/movies/?id=empathy.htm",29345,"Icarus Films","January","Documentary",92,"Unrated",NA
"11451","Cousin Jules","/movies/?id=cousinjules.htm",29337,"Cinema Guild","November","Documentary",NA,"Unrated",NA
"11452","The Topp Twins: Untouchable Girls","/movies/?id=topptwins.htm",29316,"Argot Pictures","May","Documentary",84,"Unrated",NA
"11453","Freaked","/movies/?id=freaked.htm",29296,"Fox","October","Sci-Fi Comedy",86,"PG-13",NA
"11454","No Home Movie","/movies/?id=nohomemovie.htm",29274,"Icarus Films","February","Documentary",115,"Unrated",NA
"11455","You've Been Trumped","/movies/?id=youvebeentrumped.htm",29273,"International Film Circuit","August","Documentary",100,"Unrated",NA
"11456","Sinbad: Beyond Veil of Mists","/movies/?id=sinbadbeyondveilofmists.htm",29245,"Phaedra","January","Unknown",85,"G",NA
"11457","Time to Choose","/movies/?id=timetochoose.htm",29233,"Abramorama","June","Documentary",96,"Unrated",NA
"11458","From Afar","/movies/?id=fromafar.htm",29233,"Strand","June","Drama",93,"Unknown",NA
"11459","Naked Fame","/movies/?id=nakedfame.htm",29220,"Regent Releasing","February","Documentary",84,"Unrated",NA
"11460","Or (My Treasure)","/movies/?id=ormytreasure.htm",29194,"Kino","June","Foreign",100,"Unrated",NA
"11461","Broken Sky","/movies/?id=brokensky.htm",29185,"Strand","September","Foreign",140,"PG-13",NA
"11462","The Piano Tuner of Earthquakes","/movies/?id=pianotunerofearthquakes.htm",29121,"Zeitgeist","November","Foreign",99,"Unrated",NA
"11463","Gray's Anatomy","/movies/?id=graysanatomy.htm",29090,"Northern Arts","March","Unknown",80,"Unrated",NA
"11464","The Sleeping Beauty","/movies/?id=sleepingbeauty11.htm",29066,"Strand","July","Foreign",82,"Unrated",NA
"11465","Kill List","/movies/?id=killlist.htm",29063,"IFC","February","Horror",95,"Unrated",NA
"11466","The Heart Is Deceitful Above All Things","/movies/?id=heartisdeceitfulaboveallthings.htm",29058,"Palm","March","Drama",97,"R",NA
"11467","Don't Tell","/movies/?id=donttell.htm",29015,"Lionsgate","March","Foreign",120,"R",NA
"11468","Fire in the Blood","/movies/?id=fireintheblood.htm",28994,"International Film Circuit","September","Documentary",86,"Unrated",NA
"11469","Othello (2014 re-release)","/movies/?id=othello2014.htm",28980,"Carlotta Films","April","Drama",90,"Unrated",NA
"11470","A Foreign Affair","/movies/?id=foreignaffair.htm",28909,"Innovation Film Group","May","Unknown",94,"PG-13",NA
"11471","Teknolust","/movies/?id=teknolust.htm",28811,"ThinkFilm","August","Unknown",85,"R",NA
"11472","Two in the Wave","/movies/?id=twointhewave.htm",28808,"Lorber Films","May","Documentary",91,"Unrated",NA
"11473","Metropolis (re-issue)","/movies/?id=metropolis07.htm",28779,"Kino","July","Sci-Fi",123,"Unrated",NA
"11474","Hearts and Minds (Re-issue)","/movies/?id=heartsandminds04.htm",28754,"Rialto","October","Unknown",112,"R",NA
"11475","Call of the Wild 3D","/movies/?id=callofthewild09.htm",28682,"Vivendi Entertainment","June","Family Adventure",87,"PG",NA
"11476","Catwalk","/movies/?id=catwalk.htm",28672,"Arrow Releasing","February","Documentary",95,"Unrated",NA
"11477","Hitler's Children","/movies/?id=hitlerschildren.htm",28663,"Film Movement","November","Documentary",59,"Unrated",NA
"11478","Band of Outsiders (Re-Issue)","/movies/?id=bandofoutsiders01.htm",28656,"Rialto","August","Unknown",95,"Unrated",NA
"11479","The Dark Backward","/movies/?id=darkbackward.htm",28654,"Greycat","July","Comedy",101,"R",NA
"11480","Valley of Love","/movies/?id=valleyoflove.htm",28648,"Strand","March","Drama",91,"Unrated",NA
"11481","Streetballers","/movies/?id=streetballers.htm",28642,"MSK Productions","August","Drama",NA,"R",NA
"11482","Explicit I'LLS","/movies/?id=explicitills.htm",28564,"Peace Arch Entertainment","March","Drama",87,"R",NA
"11483","Garbo: The Spy","/movies/?id=garbo.htm",28563,"First Run","November","Documentary",87,"Unrated",NA
"11484","L.627","/movies/?id=l627.htm",28540,"Kino","April","Unknown",145,"Unrated",NA
"11485","Why Don't You Play in Hell","/movies/?id=whydontyouplayinhell.htm",28534,"Drafthouse","November","Foreign",129,"Unrated",NA
"11486","Stations of the Elevated","/movies/?id=stationsoftheelevated.htm",28516,"APD/Cinema Conservancy","October","Documentary",45,"Unrated",NA
"11487","Salvation Boulevard","/movies/?id=salvationboulevard.htm",28468,"IFC","July","Comedy Thriller",96,"R",5.5
"11488","P.S. Your Cat is Dead","/movies/?id=psyourcatisdead.htm",28454,"TLA Releasing","January","Unknown",92,"Unrated",NA
"11489","Rabin, the Last Day","/movies/?id=rabinthelastday.htm",28411,"Kino Lorber","January","Drama",153,"Unrated",NA
"11490","Morning Glory (1993)","/movies/?id=morningglory.htm",28409,"Academy Entertainment","September","Unknown",90,"PG-13",NA
"11491","Struck By Lightning","/movies/?id=struckbylightning.htm",28378,"Tribeca Film","January","Comedy / Drama",90,"Unrated",NA
