"","Title","Path","Box","Distrubutor","Release.Date","Genre","Runtime","MPAA","Budget"
"129","Ted","/movies/?id=ted.htm",218815487,"Universal","June","Comedy",106,"R",50
"130","King Kong","/movies/?id=kingkong05.htm",218080025,"Universal","December","Period Adventure",187,"PG-13",207
"131","Ghost","/movies/?id=ghost.htm",217631306,"Paramount","July","Romance",128,"PG-13",22
"132","How to Train Your Dragon","/movies/?id=howtotrainyourdragon.htm",217581231,"Paramount (DreamWorks)","March","Animation",98,"PG",165
"133","The Da Vinci Code","/movies/?id=davincicode.htm",217536138,"Sony / Columbia","May","Thriller",149,"PG-13",125
"134","Aladdin","/movies/?id=aladdin.htm",217350219,"Buena Vista","November","Animation",90,"G",28
"135","Alvin and the Chipmunks","/movies/?id=alvinandthechipmunks.htm",217326974,"Fox","December","Family Comedy",92,"PG",60
"136","Saving Private Ryan","/movies/?id=savingprivateryan.htm",216540909,"DreamWorks","July","War",170,"R",70
"137","Madagascar 3: Europe's Most Wanted","/movies/?id=madagascar3.htm",216391482,"Paramount (DreamWorks)","June","Animation",93,"PG",145
"138","Kung Fu Panda","/movies/?id=kungfupanda.htm",215434591,"Paramount (DreamWorks)","June","Animation",91,"PG",130
"139","Mission: Impossible II","/movies/?id=mi2.htm",215409889,"Paramount","May","Action",123,"PG-13",125
"140","X2: X-Men United","/movies/?id=x2.htm",214949694,"Fox","May","Action / Adventure",134,"PG-13",110
"141","Dr. Seuss' The Lorax","/movies/?id=lorax.htm",214030500,"Universal","March","Animation",95,"PG",70
"142","Austin Powers in Goldmember","/movies/?id=austinpowers3.htm",213307889,"New Line","July","Comedy",94,"PG-13",63
"143","Raiders of the Lost Ark","/movies/?id=raidersofthelostark.htm",212222025,"Paramount","June","Period Adventure",115,"PG",18
"144","300","/movies/?id=300.htm",210614939,"Warner Bros.","March","Period Action",117,"R",65
"145","Back to the Future","/movies/?id=backtothefuture.htm",210609762,"Universal","July","Sci-Fi Adventure",111,"PG",19
"146","Fast Five","/movies/?id=fastfive.htm",209837675,"Universal","April","Action",130,"PG-13",125
"147","The Empire Strikes Back","/movies/?id=starwars5.htm",209398025,"Fox","May","Sci-Fi Fantasy",129,"PG",18
"148","Mission: Impossible - Ghost Protocol","/movies/?id=mi4.htm",209397903,"Paramount","December","Action",132,"PG-13",145
"149","Wedding Crashers","/movies/?id=weddingcrashers.htm",209255921,"New Line","July","Comedy",113,"R",40
"150","Sherlock Holmes","/movies/?id=sherlockholmes.htm",209028679,"Warner Bros.","December","Adventure",134,"PG-13",90
"151","Dawn of the Planet of the Apes","/movies/?id=dawnoftheapes.htm",208545589,"Fox","July","Sci-Fi Action",130,"PG-13",170
"152","Charlie and the Chocolate Factory","/movies/?id=charliechocolate.htm",206459076,"Warner Bros.","July","Family Adventure",106,"PG",150
"153","Ratatouille","/movies/?id=ratatouille.htm",206445654,"Buena Vista","June","Animation",111,"G",150
"154","Thor: The Dark World","/movies/?id=thor2.htm",206362140,"Buena Vista","November","Action / Adventure",120,"PG-13",170
"155","Austin Powers: The Spy Who Shagged Me","/movies/?id=austinpowers2.htm",206040086,"New Line","June","Comedy",95,"PG-13",33
"156","Batman Begins","/movies/?id=batmanbegins.htm",205343774,"Warner Bros.","June","Action / Adventure",140,"PG-13",150
"157","Terminator 2: Judgment Day","/movies/?id=terminator2.htm",204843345,"TriStar","July","Sci-Fi Action",137,"R",102
"158","The Amazing Spider-Man 2","/movies/?id=amazingspiderman2.htm",202853933,"Sony / Columbia","May","Action / Adventure",142,"PG-13",NA
"159","World War Z","/movies/?id=worldwarz.htm",202359711,"Paramount","June","Action Horror",116,"PG-13",190
"160","The Mummy Returns","/movies/?id=mummyreturns.htm",202019785,"Universal","May","Period Adventure",130,"PG-13",98
"161","Armageddon","/movies/?id=armageddon.htm",201578182,"Buena Vista","July","Sci-Fi Action",144,"PG-13",140
"162","Cinderella (2015)","/movies/?id=cinderella2015.htm",201151353,"Buena Vista","March","Fantasy",112,"PG",95
"163","Tangled","/movies/?id=rapunzel.htm",200821936,"Buena Vista","November","Animation",100,"PG",260
"164","Godzilla (2014)","/movies/?id=godzilla2012.htm",200676069,"Warner Bros.","May","Sci-Fi Action",123,"PG-13",160
"165","Superman Returns","/movies/?id=superman06.htm",200081192,"Warner Bros.","June","Action / Adventure",154,"PG-13",270
"166","Spectre","/movies/?id=bond24.htm",200074609,"Sony / Columbia","November","Action",148,"PG-13",245
"167","Pearl Harbor","/movies/?id=pearlharbor.htm",198542554,"Buena Vista","May","War",183,"PG-13",140
"168","Monsters Vs. Aliens","/movies/?id=monstersvsaliens.htm",198351526,"Paramount (DreamWorks)","March","Animation",94,"PG",175
"169","Happy Feet","/movies/?id=happyfeet.htm",198000317,"Warner Bros.","November","Animation",108,"PG",100
"170","Indiana Jones and the Last Crusade","/movies/?id=indianajonesandthelastcrusade.htm",197171806,"Paramount","May","Period Adventure",127,"PG-13",48
"171","Ice Age: Dawn of the Dinosaurs","/movies/?id=iceage3.htm",196573705,"Fox","July","Animation",87,"PG",90
"172","Ice Age: The Meltdown","/movies/?id=iceage2.htm",195330621,"Fox","March","Animation",90,"PG",80
"173","Mission: Impossible - Rogue Nation","/movies/?id=mi5.htm",195042377,"Paramount","July","Action",130,"PG-13",150
"174","Madagascar","/movies/?id=madagascar.htm",193595521,"DreamWorks","May","Animation",86,"PG",NA
"175","Twilight","/movies/?id=twilight08.htm",192769854,"Summit Entertainment","November","Romance",120,"PG-13",37
"176","Toy Story","/movies/?id=toystory.htm",191796233,"Buena Vista","November","Animation",81,"G",NA
"177","22 Jump Street","/movies/?id=21jumpstreet2.htm",191719337,"Sony / Columbia","June","Action Comedy",112,"R",50
"178","Cars 2","/movies/?id=cars2.htm",191452396,"Buena Vista","June","Animation",113,"G",200
"179","Teenage Mutant Ninja Turtles (2014)","/movies/?id=tmnt2013.htm",191204754,"Paramount","August","Action / Adventure",101,"PG-13",125
"180","Men in Black II","/movies/?id=meninblack2.htm",190418803,"Sony / Columbia","July","Sci-Fi Comedy",88,"PG-13",140
"181","Wreck-It Ralph","/movies/?id=rebootralph.htm",189422889,"Buena Vista","November","Animation",108,"PG",165
"182","Interstellar","/movies/?id=interstellar.htm",188020017,"Paramount","November","Sci-Fi Adventure",169,"PG-13",165
"183","Gladiator","/movies/?id=gladiator.htm",187705427,"DreamWorks","May","Historical Epic",155,"R",103
"184","The Croods","/movies/?id=croods.htm",187168425,"Fox","March","Animation",98,"PG",135
"185","Sherlock Holmes: A Game of Shadows","/movies/?id=sherlockholmes2.htm",186848418,"Warner Bros.","December","Adventure",128,"PG-13",NA
"186","The Day After Tomorrow","/movies/?id=dayaftertomorrow.htm",186740799,"Fox","May","Action Drama",124,"PG-13",125
"187","Mr. & Mrs. Smith","/movies/?id=mrandmrssmith.htm",186336279,"Fox","June","Action Comedy",115,"PG-13",110
"188","Pitch Perfect 2","/movies/?id=pitchperfect2.htm",184296230,"Universal","May","Comedy",115,"PG-13",29
"189","Dances with Wolves","/movies/?id=danceswithwolves.htm",184208848,"Orion Pictures","November","Western",183,"PG-13",22
"190","Batman Forever","/movies/?id=batmanforever.htm",184031112,"Warner Bros.","June","Action / Adventure",122,"PG-13",100
"191","The Fugitive","/movies/?id=fugitive.htm",183875760,"Warner Bros.","August","Action Thriller",130,"PG-13",NA
"192","The Revenant","/movies/?id=revenant.htm",183637894,"Fox","December","Action / Adventure",151,"R",135
"193","Ocean's Eleven","/movies/?id=oceanseleven.htm",183417150,"Warner Bros.","December","Crime Comedy",116,"PG-13",85
"194","The Simpsons Movie","/movies/?id=simpsons.htm",183135014,"Fox","July","Animation",87,"PG-13",75
"195","What Women Want","/movies/?id=whatwomenwant.htm",182811707,"Paramount","December","Fantasy Comedy",127,"PG-13",70
"196","The Perfect Storm","/movies/?id=perfectstorm.htm",182618434,"Warner Bros.","June","Action Drama",129,"PG-13",140
"197","Lincoln","/movies/?id=lincoln.htm",182207973,"Buena Vista","November","Historical Drama",145,"PG-13",65
"198","Liar Liar","/movies/?id=liarliar.htm",181410615,"Universal","March","Fantasy Comedy",86,"PG-13",NA
"199","Jurassic Park III","/movies/?id=jurassicpark3.htm",181171875,"Universal","July","Sci-Fi Horror",92,"PG-13",93
"200","Thor","/movies/?id=thor.htm",181030624,"Paramount","May","Action / Adventure",115,"PG-13",150
"201","Mission: Impossible","/movies/?id=missionimpossible.htm",180981856,"Paramount","May","Action",110,"PG-13",80
